"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 27 17:33:32 GMT 2025","Mon Oct 27 17:33:32 GMT 2025","196","src.main.api.tests","deposit_money_test","TestDepositMoney","","","test_deposit_money[1e-06]",""
"passed","Mon Oct 27 17:34:03 GMT 2025","Mon Oct 27 17:34:04 GMT 2025","1154","src.main.ui.tests","transfer_money_ui_test","TestTransferMoney","","","test_user_can_not_transfer_money_with_invalid_form[chromium-args4-Error: Invalid transfer: insufficient funds or invalid accounts-True]",""
"passed","Mon Oct 27 17:33:51 GMT 2025","Mon Oct 27 17:33:52 GMT 2025","1177","src.main.ui.tests","transfer_money_ui_test","TestTransferMoney","","","test_user_can_transfer_money[chromium]",""
"passed","Mon Oct 27 17:33:49 GMT 2025","Mon Oct 27 17:33:50 GMT 2025","322","src.main.ui.tests","login_user_ui_test","TestLoginUser","","","test_login_user[chromium]",""
"passed","Mon Oct 27 17:33:44 GMT 2025","Mon Oct 27 17:33:44 GMT 2025","475","src.main.ui.tests","create_account_ui_test","TestCreateAccount","","","test_user_can_create_account[chromium]",""
"passed","Mon Oct 27 17:33:48 GMT 2025","Mon Oct 27 17:33:49 GMT 2025","422","src.main.ui.tests","deposit_money_ui_test","TestDepositMoney","","","test_deposit_no_account[chromium]",""
"passed","Mon Oct 27 17:33:47 GMT 2025","Mon Oct 27 17:33:48 GMT 2025","686","src.main.ui.tests","deposit_money_ui_test","TestDepositMoney","","","test_deposit_invalid_amount[chromium--100-Please enter a valid amount]",""
"skipped","Mon Oct 27 17:33:38 GMT 2025","Mon Oct 27 17:33:38 GMT 2025","0","src.main.api.tests","test_transfer_money","TestTransferMoney","","","test_transfer_money_beyond_limit",""
"passed","Mon Oct 27 17:34:01 GMT 2025","Mon Oct 27 17:34:02 GMT 2025","1008","src.main.ui.tests","transfer_money_ui_test","TestTransferMoney","","","test_user_can_not_transfer_money_with_invalid_form[chromium-args3-Please fill all fields and confirm-False]",""
"passed","Mon Oct 27 17:33:39 GMT 2025","Mon Oct 27 17:33:39 GMT 2025","157","src.main.api.tests","test_transfer_money","TestTransferMoney","","","test_transfer_without_access_to_account",""
"passed","Mon Oct 27 17:33:45 GMT 2025","Mon Oct 27 17:33:46 GMT 2025","495","src.main.ui.tests","create_user_ui_test","TestCreateUser","","","test_admin_can_not_create_user_with_invalid_data[chromium]",""
"passed","Mon Oct 27 17:33:31 GMT 2025","Mon Oct 27 17:33:32 GMT 2025","80","src.main.api.tests","create_user_test","TestCreateUser","","","test_create_invalid_user[ababababababababababababab-kL%a1B72yI-USER-username-Username must be between 3 and 15 characters]",""
"passed","Mon Oct 27 17:33:30 GMT 2025","Mon Oct 27 17:33:30 GMT 2025","80","src.main.api.tests","change_name_test","TestChangeName","","","test_change_name_to_invalid[Dyer Anthony Paula]",""
"passed","Mon Oct 27 17:33:30 GMT 2025","Mon Oct 27 17:33:30 GMT 2025","80","src.main.api.tests","change_name_test","TestChangeName","","","test_change_name_to_invalid[Thomas Amanda$]",""
"passed","Mon Oct 27 17:33:31 GMT 2025","Mon Oct 27 17:33:31 GMT 2025","82","src.main.api.tests","create_account_test","TestCreateAccount","","","test_create_account",""
"passed","Mon Oct 27 17:33:30 GMT 2025","Mon Oct 27 17:33:30 GMT 2025","81","src.main.api.tests","change_name_test","TestChangeName","","","test_change_name_to_invalid[Curry Melissa6]",""
"passed","Mon Oct 27 17:33:31 GMT 2025","Mon Oct 27 17:33:31 GMT 2025","81","src.main.api.tests","create_user_test","TestCreateUser","","","test_create_invalid_user[ab-D0jE3k!3Cf-USER-username-Username must be between 3 and 15 characters]",""
"passed","Mon Oct 27 17:33:35 GMT 2025","Mon Oct 27 17:33:35 GMT 2025","82","src.main.api.tests","login_user_test","TestLoginUser","","","test_login_user",""
"skipped","Mon Oct 27 17:33:35 GMT 2025","Mon Oct 27 17:33:35 GMT 2025","0","src.main.api.tests","deposit_money_test","TestDepositMoney","","","test_deposit_beyond_limit",""
"passed","Mon Oct 27 17:33:32 GMT 2025","Mon Oct 27 17:33:33 GMT 2025","157","src.main.api.tests","deposit_money_test","TestDepositMoney","","","test_deposit_money[5000.0]",""
"passed","Mon Oct 27 17:33:35 GMT 2025","Mon Oct 27 17:33:35 GMT 2025","80","src.main.api.tests","login_user_test","TestLoginUser","","","test_login_admin_user",""
"passed","Mon Oct 27 17:33:54 GMT 2025","Mon Oct 27 17:33:55 GMT 2025","696","src.main.ui.tests","deposit_money_ui_test","TestDepositMoney","","","test_deposit_money_page[chromium-100.01]",""
"passed","Mon Oct 27 17:33:49 GMT 2025","Mon Oct 27 17:33:49 GMT 2025","289","src.main.ui.tests","login_user_ui_test","TestLoginUser","","","test_login_admin[chromium]",""
"passed","Mon Oct 27 17:33:55 GMT 2025","Mon Oct 27 17:33:56 GMT 2025","570","src.main.ui.tests","deposit_money_ui_test","TestDepositMoney","","","test_deposit_invalid_amount[chromium-None-Please enter a valid amount]",""
"passed","Mon Oct 27 17:33:37 GMT 2025","Mon Oct 27 17:33:37 GMT 2025","396","src.main.api.tests","test_transfer_money","TestTransferMoney","","","test_transfer_money_to_another_user[10000.0]",""
"passed","Mon Oct 27 17:34:05 GMT 2025","Mon Oct 27 17:34:06 GMT 2025","1013","src.main.ui.tests","transfer_money_ui_test","TestTransferMoney","","","test_user_can_not_transfer_money_with_invalid_form[chromium-args5-Please fill all fields and confirm-False]",""
"passed","Mon Oct 27 17:33:34 GMT 2025","Mon Oct 27 17:33:34 GMT 2025","158","src.main.api.tests","deposit_money_test","TestDepositMoney","","","test_deposit_invalid_amount[0]",""
"passed","Mon Oct 27 17:33:31 GMT 2025","Mon Oct 27 17:33:31 GMT 2025","80","src.main.api.tests","change_name_test","TestChangeName","","","test_change_name_to_invalid[hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh]",""
"passed","Mon Oct 27 17:33:31 GMT 2025","Mon Oct 27 17:33:31 GMT 2025","154","src.main.api.tests","create_user_test","TestCreateUser","","","test_create_valid_user[create_user_request0]",""
"passed","Mon Oct 27 17:33:42 GMT 2025","Mon Oct 27 17:33:43 GMT 2025","712","src.main.ui.tests","change_name_ui_test","TestChangeName","","","test_user_can_change_name[chromium]",""
"passed","Mon Oct 27 17:33:45 GMT 2025","Mon Oct 27 17:33:45 GMT 2025","639","src.main.ui.tests","create_user_ui_test","TestCreateUser","","","test_admin_can_create_user[chromium]",""
"passed","Mon Oct 27 17:33:58 GMT 2025","Mon Oct 27 17:33:59 GMT 2025","599","src.main.ui.tests","deposit_money_ui_test","TestDepositMoney","","","test_deposit_invalid_amount[chromium-5001-Please deposit less or equal to 5000]",""
"passed","Mon Oct 27 17:33:29 GMT 2025","Mon Oct 27 17:33:29 GMT 2025","81","src.main.api.tests","change_name_test","TestChangeName","","","test_change_name_to_invalid[]",""
"passed","Mon Oct 27 17:33:29 GMT 2025","Mon Oct 27 17:33:29 GMT 2025","178","src.main.api.tests","change_name_test","TestChangeName","","","test_change_name",""
"passed","Mon Oct 27 17:33:53 GMT 2025","Mon Oct 27 17:33:53 GMT 2025","857","src.main.ui.tests","transfer_money_ui_test","TestTransferMoney","","","test_user_can_not_transfer_money_with_invalid_form[chromium-args0-Please fill all fields and confirm-False]",""
"passed","Mon Oct 27 17:33:32 GMT 2025","Mon Oct 27 17:33:32 GMT 2025","80","src.main.api.tests","create_user_test","TestCreateUser","","","test_create_invalid_user[@ababab-cc228IJ%Fo-USER-username-Username must contain only letters, digits, dashes, underscores, and dots]",""
"passed","Mon Oct 27 17:34:00 GMT 2025","Mon Oct 27 17:34:01 GMT 2025","998","src.main.ui.tests","transfer_money_ui_test","TestTransferMoney","","","test_user_can_not_transfer_money_with_invalid_form[chromium-args2-Please fill all fields and confirm-False]",""
"passed","Mon Oct 27 17:33:31 GMT 2025","Mon Oct 27 17:33:31 GMT 2025","88","src.main.api.tests","create_user_test","TestCreateUser","","","test_create_invalid_user[-9rU+w6Yr2Z-USER-username-Username must be between 3 and 15 characters]",""
"passed","Mon Oct 27 17:33:34 GMT 2025","Mon Oct 27 17:33:35 GMT 2025","159","src.main.api.tests","deposit_money_test","TestDepositMoney","","","test_deposit_invalid_amount[-1]",""
"passed","Mon Oct 27 17:33:38 GMT 2025","Mon Oct 27 17:33:38 GMT 2025","159","src.main.api.tests","test_transfer_money","TestTransferMoney","","","test_transfer_money_beyond_balance",""
"passed","Mon Oct 27 17:33:36 GMT 2025","Mon Oct 27 17:33:36 GMT 2025","318","src.main.api.tests","test_transfer_money","TestTransferMoney","","","test_transfer_money_to_another_user[0.3534022695874526]",""
"passed","Mon Oct 27 17:33:34 GMT 2025","Mon Oct 27 17:33:34 GMT 2025","81","src.main.api.tests","deposit_money_test","TestDepositMoney","","","test_deposit_money_to_non_existent_account",""
"passed","Mon Oct 27 17:33:57 GMT 2025","Mon Oct 27 17:33:58 GMT 2025","1092","src.main.ui.tests","transfer_money_ui_test","TestTransferMoney","","","test_user_can_not_transfer_money_with_invalid_form[chromium-args1-The recipient name does not match the registered name-True]",""
"passed","Mon Oct 27 17:33:29 GMT 2025","Mon Oct 27 17:33:29 GMT 2025","80","src.main.api.tests","change_name_test","TestChangeName","","","test_change_name_to_invalid[Thompson]",""
"passed","Mon Oct 27 17:33:43 GMT 2025","Mon Oct 27 17:33:44 GMT 2025","662","src.main.ui.tests","change_name_ui_test","TestChangeName","","","test_user_can_not_change_name_to_invalid[chromium]",""
"passed","Mon Oct 27 17:33:33 GMT 2025","Mon Oct 27 17:33:33 GMT 2025","389","src.main.api.tests","deposit_money_test","TestDepositMoney","","","test_deposit_money_to_another_user_account",""
"passed","Mon Oct 27 17:33:46 GMT 2025","Mon Oct 27 17:33:47 GMT 2025","661","src.main.ui.tests","deposit_money_ui_test","TestDepositMoney","","","test_deposit_money_page[chromium-100]",""
"passed","Mon Oct 27 17:33:38 GMT 2025","Mon Oct 27 17:33:39 GMT 2025","241","src.main.api.tests","test_transfer_money","TestTransferMoney","","","test_transfer_to_own_account",""
