"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1195","test_user_can_transfer_money[chromium]","src.main.ui.tests","Mon Nov 10 07:27:25 UTC 2025","passed","Mon Nov 10 07:27:26 UTC 2025","TestTransferMoney","transfer_money_ui_test","",""
"","158","test_deposit_invalid_amount[-1]","src.main.api.tests","Mon Nov 10 07:27:08 UTC 2025","passed","Mon Nov 10 07:27:09 UTC 2025","TestDepositMoney","deposit_money_test","",""
"","395","test_transfer_money_to_another_user[10000.0]","src.main.api.tests","Mon Nov 10 07:27:11 UTC 2025","passed","Mon Nov 10 07:27:11 UTC 2025","TestTransferMoney","test_transfer_money","",""
"","79","test_change_name_to_invalid[Jenkins Michael0]","src.main.api.tests","Mon Nov 10 07:27:04 UTC 2025","passed","Mon Nov 10 07:27:04 UTC 2025","TestChangeName","change_name_test","",""
"","81","test_login_admin_user","src.main.api.tests","Mon Nov 10 07:27:09 UTC 2025","passed","Mon Nov 10 07:27:09 UTC 2025","TestLoginUser","login_user_test","",""
"","0","test_transfer_money_beyond_limit","src.main.api.tests","Mon Nov 10 07:27:12 UTC 2025","skipped","Mon Nov 10 07:27:12 UTC 2025","TestTransferMoney","test_transfer_money","",""
"","80","test_deposit_money_to_non_existent_account","src.main.api.tests","Mon Nov 10 07:27:07 UTC 2025","passed","Mon Nov 10 07:27:08 UTC 2025","TestDepositMoney","deposit_money_test","",""
"","85","test_create_invalid_user[-4K18J#Yzwa-USER-username-Username must be between 3 and 15 characters]","src.main.api.tests","Mon Nov 10 07:27:05 UTC 2025","passed","Mon Nov 10 07:27:05 UTC 2025","TestCreateUser","create_user_test","",""
"","184","test_deposit_money[1e-06]","src.main.api.tests","Mon Nov 10 07:27:06 UTC 2025","passed","Mon Nov 10 07:27:06 UTC 2025","TestDepositMoney","deposit_money_test","",""
"","0","test_deposit_beyond_limit","src.main.api.tests","Mon Nov 10 07:27:09 UTC 2025","skipped","Mon Nov 10 07:27:09 UTC 2025","TestDepositMoney","deposit_money_test","",""
